suite,stem,M,H,F,heads,layers,gpu_wall_p50_ms,hetero_wall_p50_ms,gpu_wall_p95_ms,hetero_wall_p95_ms,speedup,nrmse,cosine,gpu_reference_nrmse,hetero_reference_nrmse,quality_pass,process_s
screen,256x2048_tp75_L1_r0,256,2048,8192,32,1,7.6855,5.589688,7.8544,7.426864,1.374943,0.006693,0.999978,0.0,0.0,True,3.051066208980046
screen,256x2048_tp75_L2_r0,256,2048,8192,32,2,15.357438,12.225333,15.592033,15.005965,1.256198,0.008771,0.999962,0.0,0.0,True,3.6852111249463633
screen,256x2048_tp75_L3_r0,256,2048,8192,32,3,23.080042,17.591333,23.441504,19.3528,1.312012,0.009641,0.999954,0.0,0.0,True,4.343533125007525
screen,256x2048_triple_L1_r0,256,2048,8192,32,1,7.800896,6.784646,7.908689,7.330344,1.149787,0.000467,1.0,0.0,0.0,True,1.845979665988125
screen,256x2048_triple_L2_r0,256,2048,8192,32,2,15.536083,12.610895,15.745056,13.744575,1.231957,0.000862,1.0,0.0,0.0,True,2.4546688329428434
screen,256x2048_triple_L3_r0,256,2048,8192,32,3,22.664479,18.981375,23.516303,20.468944,1.194038,0.001068,0.999999,0.0,0.0,True,3.096730166929774
screen,64x256_cpu_L1_r0,64,256,1024,4,1,0.301187,0.534833,1.044271,1.36601,0.563142,0.0,1.0,0.0,0.0,True,0.11149799998383969
screen,64x256_cpu_L2_r0,64,256,1024,4,2,0.598896,1.070438,0.639108,2.619173,0.559487,0.0,1.0,0.0,0.0,True,0.1716252090409398
screen,64x256_cpu_L3_r0,64,256,1024,4,3,1.028792,1.651312,2.773677,3.23624,0.623014,0.0,1.0,0.0,0.0,True,0.24483508395496756
screen,64x256_projection50_L1_r0,64,256,1024,4,1,0.368688,0.652166,0.896244,2.435821,0.565327,0.002166,0.999998,0.0,0.0,True,0.17047549993731081
screen,64x256_projection50_L2_r0,64,256,1024,4,2,0.59702,1.13225,1.386554,2.633406,0.527287,0.002763,0.999996,0.0,0.0,True,0.21556979091838002
screen,64x256_projection50_L3_r0,64,256,1024,4,3,0.920104,1.654771,2.674219,3.230756,0.556031,0.002992,0.999996,0.0,0.0,True,0.2801113340537995
screen,64x256_sp50_L1_r0,64,256,1024,4,1,0.425521,0.828792,2.201556,2.222283,0.513423,0.003027,0.999995,0.0,0.0,True,0.20311054191552103
screen,64x256_sp50_L2_r0,64,256,1024,4,2,0.831542,1.390416,4.207206,3.36456,0.598053,0.003718,0.999993,0.0,0.0,True,0.2646922090789303
screen,64x256_sp50_L3_r0,64,256,1024,4,3,0.94575,1.647896,2.762421,3.179681,0.573914,0.003947,0.999992,0.0,0.0,True,0.30194033309817314
screen,64x256_tp25_L1_r0,64,256,1024,4,1,0.297563,0.523896,0.698077,1.709181,0.56798,0.001851,0.999998,0.0,0.0,True,0.16121349995955825
screen,64x256_tp25_L2_r0,64,256,1024,4,2,0.640167,1.068208,1.873898,2.60344,0.59929,0.002421,0.999997,0.0,0.0,True,0.21683020796626806
screen,64x256_tp25_L3_r0,64,256,1024,4,3,0.935021,1.610416,2.720297,3.286634,0.580608,0.002581,0.999997,0.0,0.0,True,0.31724524998571724
screen,64x256_tp50_L1_r0,64,256,1024,4,1,0.388292,0.601479,2.384798,0.840517,0.645561,0.002968,0.999996,0.0,0.0,True,0.17114079103339463
screen,64x256_tp50_L2_r0,64,256,1024,4,2,0.631417,0.991333,2.364354,1.189029,0.636937,0.003711,0.999993,0.0,0.0,True,0.21040658408310264
screen,64x256_tp50_L3_r0,64,256,1024,4,3,0.910166,1.498084,2.597717,2.995428,0.607554,0.003997,0.999992,0.0,0.0,True,0.27614358300343156
screen,64x256_tp75_L1_r0,64,256,1024,4,1,0.559333,0.734083,1.396754,3.957402,0.761947,0.004056,0.999992,0.0,0.0,True,0.2290488750441
screen,64x256_tp75_L2_r0,64,256,1024,4,2,0.647042,1.017104,2.312031,1.217036,0.636161,0.005089,0.999987,0.0,0.0,True,0.2236032079672441
screen,64x256_tp75_L3_r0,64,256,1024,4,3,0.905126,1.508917,2.636783,3.055171,0.599851,0.005383,0.999986,0.0,0.0,True,0.2874984999652952
screen,64x256_triple_L1_r0,64,256,1024,4,1,0.338646,0.632333,2.095508,1.557865,0.535549,0.002163,0.999998,0.0,0.0,True,0.1705263329204172
screen,64x256_triple_L2_r0,64,256,1024,4,2,0.630042,1.022063,2.241691,1.179148,0.616441,0.002742,0.999996,0.0,0.0,True,0.21721912489738315
screen,64x256_triple_L3_r0,64,256,1024,4,3,0.914292,1.571958,2.723569,3.155252,0.581626,0.002968,0.999996,0.0,0.0,True,0.2724136660108343
heads,1024_1024_4_ane_L1,1024,1024,4096,16,1,8.368125,9.186853,8.552552,9.747958,0.91088,0.001328,0.999999,0.001086,0.001437,True,0.9202175829559565
heads,1024_1024_4_ane_L2,1024,1024,4096,16,2,16.879855,18.239833,17.328106,19.346277,0.925439,0.001674,0.999999,0.00133,0.001715,True,1.531524125020951
heads,1024_1024_4_ane_L3,1024,1024,4096,16,3,24.427292,25.775605,25.221241,27.029439,0.94769,0.001859,0.999998,0.001453,0.001857,True,2.1947339159669355
heads,1024_1024_4_cpu_L1,1024,1024,4096,16,1,9.949959,16.837104,11.594846,18.362404,0.590954,0.000814,1.0,0.001086,0.00105,True,1.286867415998131
heads,1024_1024_4_cpu_L2,1024,1024,4096,16,2,19.745626,33.501791,21.884336,37.048889,0.58939,0.001151,0.999999,0.00133,0.001294,True,2.2172091249376535
heads,1024_1024_4_cpu_L3,1024,1024,4096,16,3,24.774645,45.847229,25.657658,49.424109,0.540374,0.001331,0.999999,0.001453,0.001418,True,2.978220083983615
heads,1024_1024_8_ane_L1,1024,1024,4096,16,1,8.089416,9.276584,8.182348,9.995029,0.872025,0.001658,0.999999,0.001086,0.001708,True,0.9516899160807952
heads,1024_1024_8_ane_L2,1024,1024,4096,16,2,16.149417,19.389958,16.4463,20.826177,0.832875,0.002023,0.999998,0.00133,0.002013,True,1.5575307090766728
